tourney_date,surface,winner1_name,winner1_id,winner2_name,winner2_id,loser1_name,loser1_id,loser2_name,loser2_id
2018-07-02,Grass,Federico Delbonis,105643,Miguel Angel Reyes Varela,104960,Oliver Marach,103594,Mate Pavic,106207
2018-07-02,Grass,Leonardo Mayer,104919,Joao Sousa,105311,David Marrero,103543,Fernando Verdasco,104269
2018-07-02,Grass,Marcelo Arevalo,105656,Hans Podlipnik Castillo,105070,Jay Clarke,126652,Cameron Norrie,111815
2018-07-02,Grass,Raven Klaasen,104071,Michael Venus,105030,Alex Bolt,106109,Lleyton Hewitt,103720
2018-07-02,Grass,Aisam Ul Haq Qureshi,103529,Jean Julien Rojer,103828,David Ferrer,103970,Marc Lopez,104043
2018-07-02,Grass,Ken Skupski,104159,Neal Skupski,105439,Ilija Bozoljac,104592,Damir Dzumhur,106000
2018-07-02,Grass,Matthew Ebden,105051,Taylor Harry Fritz,126203,Peter Gojowczyk,105376,Benoit Paire,105332
2018-07-02,Grass,Jamie Murray,104679,Bruno Soares,103946,Paolo Lorenzi,103893,Albert Ramos,105077
2018-07-02,Grass,Pierre Hugues Herbert,105732,Nicolas Mahut,103917,Roberto Carballes Baena,106148,Marco Cecchinato,106065
2018-07-02,Grass,Philipp Petzschner,104332,Tim Puetz,105047,Ryan Harrison,105992,Vasek Pospisil,105577
2018-07-02,Grass,N Sriram Balaji,105502,Vishnu Vardhan,104986,Marcus Daniell,105428,Wesley Koolhof,105323
2018-07-02,Grass,Ben Mclachlan,110758,Jan Lennard Struff,105526,Nicholas Monroe,103977,John Patrick Smith,105441
2018-07-02,Grass,Rohan Bopanna,103523,Edouard Roger Vasselin,104273,Alex De Minaur,200282,John Millman,105357
2018-07-02,Grass,Roman Jebavy,105433,Andres Molteni,105120,Matteo Berrettini,126610,Maximilian Marterer,109739
2018-07-02,Grass,Juan Sebastian Cabal,108701,Robert Farah,104857,Pablo Carreno Busta,105807,Guillermo Garcia Lopez,104198
2018-07-02,Grass,Nikola Mektic,105254,Alexander Peya,103580,Jurgen Melzer,103781,Daniel Nestor,102110
2018-07-02,Grass,Mirza Basic,105806,Dusan Lajovic,105583,Fabrice Martin,104802,Purav Raja,104646
2018-07-02,Grass,Antonio Sancic,105243,Andrei Vasilevski,105781,Taro Daniel,106121,Yoshihito Nishioka,106415
2018-07-02,Grass,Robin Haase,104898,Robert Lindstedt,102963,Ivan Dodig,104471,Rajeev Ram,104330
2018-07-02,Grass,Dominic Inglot,104693,Franco Skugor,105015,Marton Fucsovics,105916,Mischa Zverev,104999
2018-07-02,Grass,Marcelo Demoliner,105269,Santiago Gonzalez,104136,Marius Copil,105657,Stefanos Tsitsipas,126774
2018-07-02,Grass,Liam Broady,106281,Scott Clayton,106295,Francis Tiafoe,126207,Jackson J Withrow,138550
2018-07-02,Grass,Maximo Gonzalez,104216,Nicolas Jarry,111797,Henri Kontinen,105573,John Peers,105188
2018-07-02,Grass,Sander Arends,122644,Matwe Middelkoop,104235,Austin Krajicek,105572,Jeevan Nedunchezhiyan,105233
2018-07-02,Grass,Kevin Krawietz,105906,Andreas Mies,105617,Romain Arneodo,106033,James Cerretani,103859
2018-07-02,Grass,Pablo Cuevas,104655,Marcel Granollers,104719,Andre Begemann,104398,Yasutaka Uchiyama,106034
2018-07-02,Grass,Julio Peralta,103841,Horacio Zeballos,104547,Max Mirnyi,103018,Philipp Oswald,104667
2018-07-02,Grass,Divij Sharan,104690,Artem Sitak,104677,Radu Albot,105430,Malek Jaziri,104291
2018-07-02,Grass,Jonathan Erlich,102968,Marcin Matkowski,103690,Jonathan Eysseric,105559,Hugo Nys,105714
2018-07-02,Grass,Lukasz Kubot,103997,Marcelo Melo,104249,Luke Bambridge,106382,Jonny Omara,110779
2018-07-02,Grass,Leonardo Mayer,104919,Joao Sousa,105311,Federico Delbonis,105643,Miguel Angel Reyes Varela,104960
2018-07-02,Grass,Raven Klaasen,104071,Michael Venus,105030,Marcelo Arevalo,105656,Hans Podlipnik Castillo,105070
2018-07-02,Grass,Ken Skupski,104159,Neal Skupski,105439,Aisam Ul Haq Qureshi,103529,Jean Julien Rojer,103828
2018-07-02,Grass,Jamie Murray,104679,Bruno Soares,103946,Matthew Ebden,105051,Taylor Harry Fritz,126203
2018-07-02,Grass,Philipp Petzschner,104332,Tim Puetz,105047,Pierre Hugues Herbert,105732,Nicolas Mahut,103917
2018-07-02,Grass,Ben Mclachlan,110758,Jan Lennard Struff,105526,N Sriram Balaji,105502,Vishnu Vardhan,104986
2018-07-02,Grass,Juan Sebastian Cabal,108701,Robert Farah,104857,Roman Jebavy,105433,Andres Molteni,105120
2018-07-02,Grass,Nikola Mektic,105254,Alexander Peya,103580,Mirza Basic,105806,Dusan Lajovic,105583
2018-07-02,Grass,Robin Haase,104898,Robert Lindstedt,102963,Antonio Sancic,105243,Andrei Vasilevski,105781
2018-07-02,Grass,Dominic Inglot,104693,Franco Skugor,105015,Marcelo Demoliner,105269,Santiago Gonzalez,104136
2018-07-02,Grass,Mike Bryan,103185,Jack Sock,106058,Sander Arends,122644,Matwe Middelkoop,104235
2018-07-02,Grass,Kevin Krawietz,105906,Andreas Mies,105617,Pablo Cuevas,104655,Marcel Granollers,104719
2018-07-02,Grass,Divij Sharan,104690,Artem Sitak,104677,Julio Peralta,103841,Horacio Zeballos,104547
2018-07-02,Grass,Jonathan Erlich,102968,Marcin Matkowski,103690,Lukasz Kubot,103997,Marcelo Melo,104249
2018-07-02,Grass,Raven Klaasen,104071,Michael Venus,105030,Leonardo Mayer,104919,Joao Sousa,105311
2018-07-02,Grass,Jamie Murray,104679,Bruno Soares,103946,Ken Skupski,104159,Neal Skupski,105439
2018-07-02,Grass,Ben Mclachlan,110758,Jan Lennard Struff,105526,Philipp Petzschner,104332,Tim Puetz,105047
2018-07-02,Grass,Frederik Nielsen,104233,Joe Salisbury,110749,Juan Sebastian Cabal,108701,Robert Farah,104857
2018-07-02,Grass,Robin Haase,104898,Robert Lindstedt,102963,Nikola Mektic,105254,Alexander Peya,103580
