game, current_winner1, current_winner2, current_loser1, current_loser2, winner_mean, loser_mean, phat
8206, Chen Xue, Xi Zhang, Taiana Lima, Talita Antunes, 3579.547, 3395.096, 0.7387
8207, Taiana Lima, Talita Antunes, Kira Walkenhorst, Laura Ludwig, 3398.520, 3306.418, 0.6145
8208, Chen Xue, Xi Zhang, Barbara Seixas, Liliane Maestrini, 3581.155, 3410.543, 0.7198
8209, Melissa Humana-Paredes, Taylor Pischke, Julia Hamer, Victoria Altomare, 3049.510, 2704.606, 0.8097
8210, Bibiana Candelas, Martha Revuelta, Christina Roubanis, JoAnna Papageorgiou, 3086.544, 2746.460, 0.8492
8211, Janne Kongshavn, Victoria Kjolberg, Dalida Vernier, Jurja Vlasic, 2950.060, 2829.159, 0.3083
8212, Agnieszka Pregowska, Aleksandra Wolak, Anika Krebs, Yanina Weiland, 3040.781, 2867.284, 0.4731
8213, April Ross, Jennifer Kessy, Agnieszka Pregowska, Aleksandra Wolak, 3514.615, 3021.837, 0.9385
8214, Anouk VergÌ©-DÌ©prÌ©, Isabelle Forrer, Emilia Nystrom, Erika Nystrom, 3076.475, 3128.702, 0.4008
8215, Anouk VergÌ©-DÌ©prÌ©, Isabelle Forrer, April Ross, Jennifer Kessy, 3097.688, 3508.859, 0.0743
8216, Emilia Nystrom, Erika Nystrom, Agnieszka Pregowska, Aleksandra Wolak, 3130.416, 2942.199, 0.6491
8217, April Ross, Jennifer Kessy, Emilia Nystrom, Erika Nystrom, 3509.493, 3129.709, 0.8983
8218, Anouk VergÌ©-DÌ©prÌ©, Isabelle Forrer, Agnieszka Pregowska, Aleksandra Wolak, 3102.624, 2882.955, 0.7099
8219, Taiana Lima, Talita Antunes, Melissa Humana-Paredes, Taylor Pischke, 3399.388, 3010.971, 0.8817
8220, Emily Day, Summer Ross, Marta Menegatti, Viktoria Orsi Toth, 3206.726, 3087.325, 0.6163
8221, Taiana Lima, Talita Antunes, Marta Menegatti, Viktoria Orsi Toth, 3400.636, 3080.215, 0.8577
8222, Emily Day, Summer Ross, Melissa Humana-Paredes, Taylor Pischke, 3215.880, 2948.881, 0.7553
8223, Taiana Lima, Talita Antunes, Emily Day, Summer Ross, 3402.826, 3203.122, 0.7434
